tt0000012	1	nm2880396	self		["Herself"]
tt0000012	2	nm9735580	self		["Himself"]
tt0000012	3	nm0525900	self		["Herself"]
tt0000012	4	nm9735581	self		["Herself"]
tt0000012	5	nm0525908	director		
tt0000012	6	nm0525910	director		
tt0000012	7	nm9735579	self		["Herself"]
tt0000012	8	nm9653419	self		["Herself"]
tt0000131	1	nm0617588	actor		["L'homme qui essaie de dormir"]
tt0000167	1	nm0422809	director		
tt0000174	1	nm0841389	actor		["Sausage Vendor"]
tt0000174	2	nm1024447	actor		["Sticker"]
tt0000174	3	nm0471818	director		
tt0000300	1	nm0085865	actor		["Chalk-Talk Artist"]
tt0000300	2	nm0807236	producer	producer	
tt0000304	1	nm2940072	actor		["Willy - the little grandson"]
tt0000304	2	nm0808310	director		
tt0000319	1	nm1272063	actor		
tt0000319	2	nm1272675	actor		
tt0000319	3	nm0793094	director		
tt0000416	1	nm0954087	director		
tt0000416	2	nm0957652	writer	novel "L'Assommoir"	
tt0000498	1	nm1012587	actor		["Rover the dog"]
tt0000498	2	nm0164281	actress		["Nursemaid"]
tt0000498	3	nm0378407	actress		["The baby"]
tt0000498	4	nm0378408	actor		["Harassed father"]
tt0000498	5	nm0280432	director		
tt0000498	6	nm1539443	writer	story	
tt0000498	7	nm1428608	actress		["Gypsy woman"]
tt0000498	8	nm0809910	actor		["Soldier"]
tt0000669	1	nm0384754	actress		["Cupid"]
tt0000669	2	nm1866776	actor		
tt0000669	3	nm0615155	actress		["Woman"]
tt0000669	4	nm1670497	actor		
tt0000669	5	nm0205986	director		
tt0000669	6	nm0692105	cinematographer		
tt0000669	7	nm0768187	actress		
tt0000669	8	nm0000428	actor		["Extra at Ball"]
tt0001062	10	nm0409390	actor		["Theatre Audience"]
tt0001062	1	nm0038106	actress		["Theatre Audience"]
tt0001062	2	nm0173994	actor		["Theatre Audience"]
tt0001062	3	nm0277411	actress		["Woman with Largest Hat"]
tt0001062	4	nm0311375	actor		["Theatre Audience"]
tt0001062	5	nm0000428	director		
tt0001062	6	nm0104506	composer		
tt0001062	7	nm0005658	cinematographer		
tt0001062	8	nm0366008	actor		["Theatre Audience"]
tt0001062	9	nm0376829	actress		["Theatre Audience"]
tt0001740	10	nm0226992	actor		["The Telegrapher"]
tt0001740	1	nm0842239	actress		["The Telegrapher"]
tt0001740	2	nm0629589	actor		["The Lonedale Operator - the Telegrapher's Father"]
tt0001740	3	nm0334918	actor		["The Engineer"]
tt0001740	4	nm0524306	actor		["The Fireman"]
tt0001740	5	nm0000428	director		
tt0001740	6	nm0784407	writer		
tt0001740	7	nm0376396	actor		["1st Tramp"]
tt0001740	8	nm0337033	actor		["2nd Tramp"]
tt0001740	9	nm0921980	actor		["The Company Agent"]
tt0001963	10	nm0630818	actor		["Block"]
tt0001963	1	nm0699637	actor		["Aage Hellertz"]
tt0001963	2	nm0690702	actress		["Anna Hansen"]
tt0001963	3	nm0086003	actress		["Metha Hellertz - Widow"]
tt0001963	4	nm1627778	actor		["Hansen - Waiter"]
tt0001963	5	nm0088881	director		
tt0001963	6	nm4798267	writer		
tt0001963	7	nm1437660	writer		
tt0001963	8	nm0333175	cinematographer		
tt0001963	9	nm0159886	actor		["Bruun"]
tt0002056	1	nm0823088	director		
tt0002233	1	nm0532072	actor		["Mr. Suburbanite"]
tt0002233	2	nm0635667	actress		["Mrs. Suburbanite"]
tt0002233	3	nm0376396	actor		["Office Worker"]
tt0002233	4	nm0226992	actor		["Office Worker"]
tt0002233	5	nm0784407	director		
tt0002233	6	nm0383528	cinematographer		
tt0002233	7	nm0656425	actor		["Burglar"]
tt0002233	8	nm0733176	actor		["Burglar"]
tt0002233	9	nm0262757	actor		["Wagon Owner"]
tt0005661	10	nm0152250	actress		["Customer"]
tt0005661	1	nm0152260	actor		["Gussle"]
tt0005661	2	nm0020914	actress		["Gussle's Wife"]
tt0005661	3	nm0018419	actor		["Shoe Customer"]
tt0005661	4	nm0507392	actress		["Shoe Customer's Daughter"]
tt0005661	5	nm0043018	director		
tt0005661	6	nm0784407	producer	producer	
tt0005661	7	nm0871139	actor		["Janitor"]
tt0005661	8	nm0067588	actor		["Shoe Clerk"]
tt0005661	9	nm0071616	actress		["Customer"]
tt0008279	10	nm0136830	actor		
tt0008279	1	nm0528678	actress		["Manon Berliac"]
tt0008279	2	nm0350759	actor		["Emile Berliac"]
tt0008279	3	nm0848173	actor		["François Rolland"]
tt0008279	4	nm0318420	actor		["Jean"]
tt0008279	5	nm0304098	director		
tt0008279	6	nm0620586	producer	producer	
tt0008279	7	nm0005662	cinematographer		
tt0008279	8	nm0894468	actor		["Jean Dormis"]
tt0008279	9	nm0595321	actor		
tt0008652	1	nm0267912	actor		["Charles Darnay","Sydney Carton"]
